id,timing,priority,target,condition,cond_option,effect,effect_option
100053,on_after_attack\on_after_attack,-1\-1,pet\pet,none\none,none\none,add_buff\add_buff,id=3021&value=15&turn=-1\id=3012&turn=-1
100054,on_after_attack,-1,pet,none,none,add_buff,id=3022&turn=6
100055,on_before_attack,-1,skill,status,who=op&status_type=5&cmp_value=1/1,set_skill,type=power&op=*&value=2
100056,on_before_attack,-1,skill,status,who=op&status_type=5&op=<&cmp_value=1/4,set_skill,type=power&op=*&value=4
100057,on_after_attack,-1,pet,none,none,add_buff,who=op&id=101
100058,none,-1,none,none,none,none,none
100059,on_after_attack,-1,pet,none,none,powerup,who=op&spd=-1
100060,on_before_attack,-1,skill,status,status_type=5&op=<&cmp_value=1/4,set_skill,type=critical&op=+&value=1000
100061,on_after_attack,-1,pet,none,none,add_buff,id=3023
100062,on_after_attack,-1,pet,none,none,add_buff,who=op&id=3020&turn=-1
100063,none,-1,none,none,none,none,none
100064,on_after_attack,-1,pet,none,none,add_buff,id=3024&turn=5
100065,on_after_attack,-1,pet,none,none,add_buff,who=op&id=3003
100066,on_final_dmg_cal,900,pet,status,who=op&status_type=5&cmp_value=1/1,set_damage,op=+&value=me.pet.status.maxHp[MIN]op.pet.status.maxHp*1/4
100067,none,-1,none,none,none,none,none
100068,none,-1,none,none,none,none,none
100069,on_after_attack,-1,pet,none,none,add_buff,id=3143&value=1
100070,on_after_attack,-1,pet,none,none,add_buff,who=op&id=1003
100071,on_before_attack,-1,skill,last_skill,type=id/hit&id_cmp=100070&hit_cmp=0,set_skill,type=power&op=*&value=2
100072,on_after_attack,-1,pet,last_skill,type=id/hit&id_cmp=100070&hit_cmp=0,heal,add=me.pet.buff[3143].value*me.skill.damage/4
100073,on_after_attack\on_after_attack,-1\-1,pet\pet,none\none,none\weather=13,powerup\powerup,def=1\mdf=1
100074,on_after_attack,-1,pet,none,none,add_buff,who=op&id=1004&turn=3&value=30
100075,on_before_attack,-1,skill,last_skill,type=id/hit&id_cmp=100074&hit_cmp=0,set_skill,type=power&op=*&value=2
100076,on_after_attack,-1,pet,last_skill,type=id/hit&id_cmp=100074&hit_cmp=0,heal,add=me.pet.buff[3143].value*me.skill.damage/4
100077,on_after_attack\on_after_attack,-1\-1,pet\pet,none\none,none\weather=13,powerup\powerup,atk=1\mat=1
100078,on_after_attack,-1,pet,none,none,remove_buff,who=op&id=5/7
100079,on_after_dmg_cal,-1,skill,status,status_type=5&op=<&cmp_value=1/4,set_damage,op=*&value=3/2
100080,on_before_attack,-1,skill,last_skill,type=id&id_cmp=100080,set_skill,type=power&op=+&value=50
100081,on_before_attack,-1,skill,buff,who=op&id=1003,set_skill,type=power&op=*&value=4
100082,on_after_attack,-1,skill,buff,who=op&id=1004,heal,add=me.pet.buff[3143].value*me.skill.damage/4
